neighbourhood,price,minimum_nights,number_of_reviews
Anières,115.5,2.0,10.0
Avully,69.67,3.0,10.0
Bardonnex,55.6,6.0,18.0
Bellevue,113.81,8.0,4.0
Bernex,78.89,2.0,3.0
Carouge,103.16,7.0,12.0
Cartigny,84.5,2.0,2.0
Chancy,64.0,1.0,3.0
Choulex,85.0,2.0,3.0
Chêne-Bougeries,151.39,6.0,12.0
Chêne-Bourg,131.94,5.0,21.0
Collex-Bossy,230.5,4.0,2.0
Collonge-Bellerive,334.43,8.0,16.0
Cologny,234.95,9.0,14.0
Commune de Genève,124.23,6.0,26.0
Confignon,146.14,2.0,35.0
Corsier,93.17,11.0,2.0
Dardagny,72.5,10.0,0.0
Genthod,198.6,5.0,6.0
Grand-Saconnex,128.79,4.0,25.0
Gy,55.0,5.0,0.0
Hermance,214.0,3.0,4.0
Jussy,70.0,1.0,12.0
Lancy,102.02,3.0,16.0
Meinier,196.5,5.0,4.0
Meyrin,83.63,3.0,44.0
Onex,146.71,20.0,33.0
Perly-Certoux,88.0,5.0,5.0
Plan-les-Ouates,118.57,4.0,16.0
Pregny-Chambésy,146.12,11.0,12.0
Presinge,1080.0,41.0,11.0
Puplinge,94.0,2.0,1.0
Russin,100.0,3.0,3.0
Satigny,163.75,2.0,14.0
Soral,125.25,4.0,14.0
Thônex,81.6,7.0,9.0
Troinex,87.5,2.0,16.0
Vandoeuvres,320.5,6.0,3.0
Vernier,83.47,8.0,23.0
Versoix,104.24,3.0,14.0
Veyrier,101.46,4.0,4.0
