neighbourhood,region,accommodates,amenities_count,bedrooms,beds,host_acceptance_rate,maximum_nights,minimum_nights,price,review_scores_value
Aclens,Vaud,4.666666666666667,377.0,2.0,2.6666666666666665,98.5,754.6666666666666,3.3333333333333335,123.0,9.5
Affoltern,Zurich,1.8275862068965518,370.51724137931035,1.1071428571428572,1.5185185185185186,71.89473684210526,667.6206896551724,6.724137931034483,80.51724137931035,9.523809523809524
Aigle,Vaud,2.5142857142857142,416.9142857142857,1.2142857142857142,1.3285714285714285,98.05970149253731,1029.7714285714285,1.1857142857142857,79.74285714285715,9.571428571428571
Albisrieden,Zurich,2.225806451612903,307.19354838709677,1.1666666666666667,1.2333333333333334,64.75,456.80645161290323,5.548387096774194,77.83870967741936,9.304347826086957
Allaman,Vaud,4.0,387.0,1.6666666666666667,3.0,100.0,755.0,1.3333333333333333,182.33333333333334,9.0
Alt-Wiedikon,Zurich,2.723809523809524,339.51428571428573,1.3132530120481927,1.5333333333333334,77.08247422680412,686.4095238095238,3.8285714285714287,109.5047619047619,9.10752688172043
Altstetten,Zurich,2.2291666666666665,355.1875,1.2222222222222223,1.425531914893617,80.98701298701299,693.1666666666666,6.947916666666667,150.28125,9.267605633802816
Anières,Geneva,2.75,427.25,1.5,2.5,83.25,582.5,2.5,115.5,10.0
Apples,Vaud,5.25,462.5,2.25,3.5,95.5,571.25,4.0,102.5,9.5
Arnex-sur-Nyon,Vaud,2.0,314.0,,2.0,67.0,1125.0,2.0,70.0,10.0
Arnex-sur-Orbe,Vaud,4.0,120.0,2.0,2.0,17.0,365.0,1.0,180.0,
Arzier-Le Muids,Vaud,4.125,288.125,2.0,1.875,73.83333333333333,446.125,5.5,99.75,10.0
Assens,Vaud,8.0,500.5,4.0,8.0,,160.0,30.0,148.0,
Aubonne,Vaud,3.5384615384615383,354.3076923076923,1.7692307692307692,1.9230769230769231,91.88888888888889,609.2307692307693,9.153846153846153,121.84615384615384,9.7
Avenches,Vaud,2.8,434.8,1.0,1.6,95.2,461.6,1.4,70.6,9.6
Avully,Geneva,1.3333333333333333,405.3333333333333,1.0,1.0,100.0,757.0,2.6666666666666665,69.66666666666667,9.666666666666666
Ballaigues,Vaud,3.3333333333333335,270.0,2.0,2.3333333333333335,66.66666666666667,386.6666666666667,3.6666666666666665,76.66666666666667,10.0
Ballens,Vaud,2.0,205.0,1.0,1.0,,365.0,1.0,67.0,
Bardonnex,Geneva,1.6,398.6,1.0,0.8,66.66666666666667,694.4,6.2,55.6,9.5
Begnins,Vaud,2.6666666666666665,314.0,1.1666666666666667,1.5,70.75,387.3333333333333,3.8333333333333335,87.83333333333333,9.6
Bellevue,Geneva,2.875,393.1875,1.7857142857142858,1.9375,73.92307692307692,879.6875,8.3125,113.8125,9.333333333333334
Belmont-sur-Lausanne,Vaud,4.0,441.0,2.1666666666666665,3.0,83.15384615384616,752.2857142857143,6.142857142857143,159.42857142857142,9.615384615384615
