neighbourhood,price,minimum_nights,number_of_reviews
Aclens,123.0,3.0,7.0
Aigle,79.74,1.0,8.0
Allaman,182.33,1.0,12.0
Apples,102.5,4.0,14.0
Arnex-sur-Nyon,70.0,2.0,23.0
Arnex-sur-Orbe,180.0,1.0,0.0
Arzier-Le Muids,285.3,5.0,9.0
Assens,148.0,30.0,0.0
Aubonne,121.85,9.0,8.0
Avenches,258.83,1.0,46.0
Ballaigues,76.67,4.0,4.0
Ballens,67.0,1.0,0.0
Begnins,87.83,4.0,15.0
Belmont-sur-Lausanne,188.8,7.0,9.0
Bex,122.26,2.0,14.0
Bière,54.0,4.0,42.0
Blonay,154.69,3.0,19.0
Bogis-Bossey,87.5,3.0,5.0
Bonvillars,159.0,3.0,24.0
Borex,50.0,1.0,9.0
Bottens,54.0,1.0,9.0
Bourg-en-Lavaux,174.53,8.0,36.0
Bournens,120.0,3.0,45.0
Bremblens,67.0,3.0,11.0
Buchillon,315.0,12.0,14.0
Bullet,115.0,4.0,9.0
Bursinel,95.0,2.0,62.0
Bursins,67.5,13.0,15.0
Burtigny,35.0,7.0,0.0
Bussigny,91.19,3.0,30.0
Bussy-Chardonney,105.0,2.0,44.0
Champagne,40.0,2.0,37.0
Champvent,126.67,2.0,21.0
Chardonne,262.55,16.0,18.0
Chavannes-de-Bogis,80.0,2.0,8.0
Chavannes-le-Veyron,347.5,4.0,8.0
Chavannes-près-Renens,64.43,3.0,17.0
Chavannes-sur-Moudon,600.0,4.0,3.0
Chavornay,66.2,6.0,7.0
Cheseaux-Noréaz,87.0,4.0,17.0
Cheseaux-sur-Lausanne,68.5,2.0,1.0
Chevroux,132.6,3.0,38.0
Chexbres,116.15,1.0,30.0
Chigny,332.5,2.0,4.0
Château-d'Oex,361.1,3.0,16.0
Commugny,132.85,3.0,12.0
Concise,149.5,1.0,14.0
Coppet,246.88,4.0,6.0
Corbeyrier,160.0,4.0,4.0
Corcelles-le-Jorat,85.0,2.0,46.0
Corcelles-près-Concise,80.0,1.0,33.0
Corcelles-près-Payerne,146.67,1.0,1.0
Corseaux,120.71,5.0,11.0
Corsier-sur-Vevey,127.33,4.0,16.0
Cossonay,75.5,2.0,46.0
Crans-près-Céligny,122.5,2.0,28.0
Crassier,125.0,4.0,16.0
Crissier,57.4,9.0,10.0
Cuarnens,67.0,2.0,78.0
Cuarny,45.0,1.0,4.0
Cudrefin,208.29,2.0,19.0
Cugy (Vaud),200.0,7.0,0.0
Daillens,98.0,3.0,13.0
Denens,151.5,6.0,13.0
Denges,75.8,1.0,6.0
Dompierre (Vaud),271.0,5.0,4.0
Donneloye,85.0,2.0,9.0
Duillier,75.0,38.0,22.0
Dully,120.0,2.0,3.0
Echallens,121.6,1.0,7.0
Echandens,87.0,4.0,4.0
Echichens,108.5,8.0,14.0
Ecublens (Vaud),88.62,6.0,7.0
Epalinges,97.23,5.0,10.0
Ependes (Vaud),152.5,2.0,38.0
Essertes,53.5,1.0,118.0
Essertines-sur-Rolle,161.0,5.0,9.0
Etoy,159.73,3.0,25.0
Eysins,120.5,3.0,9.0
Faoug,162.22,4.0,20.0
Fontaines-sur-Grandson,1403.0,11.0,40.0
Forel (Lavaux),106.4,5.0,6.0
Founex,156.62,16.0,34.0
Froideville,78.8,1.0,7.0
Féchy,332.0,4.0,12.0
Genolier,190.4,3.0,8.0
Giez,50.0,1.0,0.0
Gilly,130.25,3.0,21.0
Gimel,144.0,3.0,12.0
Gingins,269.5,4.0,15.0
Givrins,92.0,40.0,6.0
Gland,106.29,11.0,4.0
Gollion,38.5,2.0,16.0
Goumoëns,91.67,3.0,7.0
Grandevent,95.0,2.0,2.0
Grandson,95.0,2.0,16.0
Grens,150.0,1.0,0.0
Gryon,287.72,4.0,9.0
Hermenches,101.0,3.0,27.0
Jongny,170.43,5.0,30.0
Jorat-Menthue,113.0,1.0,16.0
Jorat-Mézières,82.6,5.0,0.0
Jouxtens-Mézery,60.0,2.0,1.0
L'Abbaye,128.8,6.0,25.0
L'Isle,70.0,1.0,28.0
La Rippe,90.0,2.0,2.0
La Sarraz,88.5,1.0,4.0
