source,target,value
place:$0-100,Heating,0.9499602859412232
place:$0-100,Essentials,0.949166004765687
place:$0-100,TV,0.6751389992057188
place:$0-100,Stove,0.4495631453534551
place:$0-100,Smoke alarm,0.24066719618745036
place:$0-100,Garden or backyard,0.14058776806989676
place:$0-100,Lockbox,0.13899920571882446
place:$0-100,Dryer,0.45194598888006354
place:$0-100,Oven,0.3995234312946783
place:$0-100,Coffee maker,0.4106433677521843
place:$0-100,Shampoo,0.562351072279587
place:$0-100,Hangers,0.7625099285146942
place:$0-100,First aid kit,0.13105639396346305
place:$0-100,Hair dryer,0.6727561556791104
place:$0-100,Dishes and silverware,0.5559968228752978
place:$0-100,Kitchen,0.9436060365369341
place:$0-100,Dishwasher,0.22478157267672755
place:$0-100,Cooking basics,0.5107227958697379
place:$0-100,Microwave,0.3455123113582208
place:$0-100,Patio or balcony,0.26131850675139
place:$0-100,Single level home,0.1096108022239873
place:$0-100,Dedicated workspace,0.5726767275615567
place:$0-100,Wifi,0.8752978554408261
place:$0-100,Free parking on premises,0.45750595710881653
place:$0-100,Private entrance,0.3471008737092931
place:$0-100,Extra pillows and blankets,0.19142176330420968
place:$0-100,Luggage dropoff allowed,0.2200158856235107
place:$0-100,Refrigerator,0.5138999205718825
place:$0-100,Long term stays allowed,0.8427323272438443
place:$0-100,Hot water,0.6568705321683876
place:$0-100,Bed linens,0.414614773629865
place:$0-100,Iron,0.6743447180301827
place:$0-100,Free street parking,0.187450357426529
place:$0-100,Fire extinguisher,0.27243844320889593
place:$0-100,Washer,0.596505162827641
place:$100-200,Heating,0.9442724458204335
place:$100-200,Essentials,0.9277605779153767
place:$100-200,TV,0.7905056759545923
place:$100-200,Stove,0.4871001031991744
place:$100-200,Smoke alarm,0.2786377708978328
place:$100-200,Pack ’n Play/travel crib,0.12280701754385964
place:$100-200,Room-darkening shades,0.1475748194014448
place:$100-200,Garden or backyard,0.24871001031991744
place:$100-200,Lockbox,0.17647058823529413
place:$100-200,Dryer,0.5779153766769866
place:$100-200,Oven,0.5015479876160991
place:$100-200,Coffee maker,0.4871001031991744
place:$100-200,Shampoo,0.5232198142414861
place:$100-200,Hangers,0.804953560371517
place:$100-200,First aid kit,0.19917440660474717
place:$100-200,Hair dryer,0.7667698658410733
place:$100-200,Dishes and silverware,0.5820433436532507
place:$100-200,Kitchen,0.9711042311661506
place:$100-200,Dishwasher,0.42518059855521156
place:$100-200,Cooking basics,0.543859649122807
place:$100-200,Microwave,0.3715170278637771
place:$100-200,High chair,0.15789473684210525
place:$100-200,Patio or balcony,0.3766769865841073
place:$100-200,Single level home,0.1021671826625387
place:$100-200,Dedicated workspace,0.5830753353973168
place:$100-200,Wifi,0.9071207430340558
place:$100-200,Free parking on premises,0.630546955624355
place:$100-200,Shower gel,0.12280701754385964
place:$100-200,Crib,0.13519091847265222
place:$100-200,Private entrance,0.43343653250773995
place:$100-200,Extra pillows and blankets,0.2848297213622291
place:$100-200,Luggage dropoff allowed,0.21878224974200206
place:$100-200,Refrigerator,0.5552115583075335
place:$100-200,Carbon monoxide alarm,0.13622291021671826
place:$100-200,Long term stays allowed,0.8606811145510835
place:$100-200,Hot water,0.6831785345717234
place:$100-200,Bed linens,0.45098039215686275
place:$100-200,Bathtub,0.18988648090815274
place:$100-200,Iron,0.6790505675954592
place:$100-200,Children’s books and toys,0.17234262125902994
place:$100-200,BBQ grill,0.11661506707946337
place:$100-200,Free street parking,0.23529411764705882
place:$100-200,Fire extinguisher,0.4066047471620227
place:$100-200,Washer,0.7358101135190919
place:$200-300,Heating,0.9174311926605505
place:$200-300,Essentials,0.9327217125382263
place:$200-300,TV,0.8287461773700305
place:$200-300,Stove,0.4648318042813456
place:$200-300,Children’s dinnerware,0.10703363914373089
place:$200-300,Smoke alarm,0.2874617737003058
place:$200-300,Pack ’n Play/travel crib,0.12232415902140673
place:$200-300,Room-darkening shades,0.1437308868501529
place:$200-300,Garden or backyard,0.3180428134556575
place:$200-300,Lockbox,0.1712538226299694
place:$200-300,Dryer,0.6636085626911316
place:$200-300,Oven,0.4984709480122324
place:$200-300,Coffee maker,0.5290519877675841
place:$200-300,Shampoo,0.44036697247706424
place:$200-300,Hangers,0.8746177370030581
place:$200-300,First aid kit,0.22324159021406728
place:$200-300,Hair dryer,0.7431192660550459
place:$200-300,Dishes and silverware,0.6024464831804281
place:$200-300,Kitchen,0.9694189602446484
place:$200-300,Dishwasher,0.4954128440366973
place:$200-300,Cooking basics,0.5626911314984709
place:$200-300,Microwave,0.3761467889908257
place:$200-300,High chair,0.16819571865443425
place:$200-300,Patio or balcony,0.45871559633027525
place:$200-300,Dedicated workspace,0.5443425076452599
place:$200-300,Wifi,0.8746177370030581
place:$200-300,Free parking on premises,0.8042813455657493
place:$200-300,Crib,0.1712538226299694
place:$200-300,Private entrance,0.5076452599388379
place:$200-300,Extra pillows and blankets,0.3180428134556575
place:$200-300,Luggage dropoff allowed,0.1559633027522936
place:$200-300,Refrigerator,0.5718654434250765
place:$200-300,Carbon monoxide alarm,0.12844036697247707
place:$200-300,Long term stays allowed,0.8715596330275229
place:$200-300,Hot water,0.7003058103975535
place:$200-300,Bed linens,0.4709480122324159
place:$200-300,Bathtub,0.23547400611620795
place:$200-300,Iron,0.6697247706422018
place:$200-300,Children’s books and toys,0.22935779816513763
place:$200-300,BBQ grill,0.1651376146788991
place:$200-300,Free street parking,0.2324159021406728
place:$200-300,Fire extinguisher,0.43730886850152906
place:$200-300,Washer,0.8165137614678899
place:$300-400,Heating,0.9469026548672567
place:$300-400,Essentials,0.9203539823008849
place:$300-400,TV,0.8672566371681416
place:$300-400,Stove,0.4778761061946903
place:$300-400,Nespresso machine,0.13274336283185842
place:$300-400,Children’s dinnerware,0.10619469026548672
place:$300-400,Fireplace guards,0.12389380530973451
place:$300-400,Smoke alarm,0.336283185840708
