source,target,value
place:$0-100,Fire extinguisher,0.27243844320889593
place:$0-100,Free street parking,0.187450357426529
place:$0-100,Private entrance,0.3471008737092931
place:$0-100,Free parking on premises,0.45750595710881653
place:$0-100,Wifi,0.8752978554408261
place:$0-100,Dedicated workspace,0.5726767275615567
place:$0-100,Patio or balcony,0.26131850675139
place:$0-100,Cooking basics,0.5107227958697379
place:$0-100,Microwave,0.3455123113582208
place:$0-100,Dishes and silverware,0.5559968228752978
place:$0-100,First aid kit,0.13105639396346305
place:$0-100,Shampoo,0.562351072279587
place:$0-100,Garden or backyard,0.14058776806989676
place:$0-100,Smoke alarm,0.24066719618745036
place:$0-100,Heating,0.9499602859412232
place:$0-100,TV,0.6751389992057188
place:$100-200,Fire extinguisher,0.4066047471620227
place:$100-200,Free street parking,0.23529411764705882
place:$100-200,Bathtub,0.18988648090815274
place:$100-200,Private entrance,0.43343653250773995
place:$100-200,Shower gel,0.12280701754385964
place:$100-200,Free parking on premises,0.630546955624355
place:$100-200,Wifi,0.9071207430340558
place:$100-200,Dedicated workspace,0.5830753353973168
place:$100-200,Patio or balcony,0.3766769865841073
place:$100-200,Cooking basics,0.543859649122807
place:$100-200,Microwave,0.3715170278637771
place:$100-200,Dishes and silverware,0.5820433436532507
place:$100-200,First aid kit,0.19917440660474717
place:$100-200,Shampoo,0.5232198142414861
place:$100-200,Garden or backyard,0.24871001031991744
place:$100-200,Smoke alarm,0.2786377708978328
place:$100-200,Heating,0.9442724458204335
place:$100-200,TV,0.7905056759545923
place:$200-300,Fire extinguisher,0.43730886850152906
place:$200-300,Free street parking,0.2324159021406728
place:$200-300,Bathtub,0.23547400611620795
place:$200-300,Private entrance,0.5076452599388379
place:$200-300,Free parking on premises,0.8042813455657493
place:$200-300,Wifi,0.8746177370030581
place:$200-300,Dedicated workspace,0.5443425076452599
place:$200-300,Patio or balcony,0.45871559633027525
place:$200-300,Cooking basics,0.5626911314984709
place:$200-300,Microwave,0.3761467889908257
place:$200-300,Dishes and silverware,0.6024464831804281
place:$200-300,First aid kit,0.22324159021406728
place:$200-300,Shampoo,0.44036697247706424
place:$200-300,Garden or backyard,0.3180428134556575
place:$200-300,Smoke alarm,0.2874617737003058
place:$200-300,Heating,0.9174311926605505
place:$200-300,TV,0.8287461773700305
place:$300-400,Hot tub,0.11504424778761062
place:$300-400,Fire extinguisher,0.45132743362831856
place:$300-400,Free street parking,0.18584070796460178
place:$300-400,Bathtub,0.36283185840707965
place:$300-400,Private entrance,0.504424778761062
place:$300-400,Shower gel,0.1504424778761062
place:$300-400,Free parking on premises,0.911504424778761
place:$300-400,Wifi,0.8672566371681416
place:$300-400,Dedicated workspace,0.5752212389380531
place:$300-400,Patio or balcony,0.48672566371681414
place:$300-400,Cooking basics,0.584070796460177
place:$300-400,Microwave,0.415929203539823
place:$300-400,Dishes and silverware,0.6460176991150443
place:$300-400,First aid kit,0.23008849557522124
place:$300-400,Shampoo,0.5221238938053098
place:$300-400,Garden or backyard,0.34513274336283184
place:$300-400,Smoke alarm,0.336283185840708
place:$300-400,Heating,0.9469026548672567
place:$300-400,TV,0.8672566371681416
place:$400-500,Hot tub,0.20512820512820512
place:$400-500,Fire extinguisher,0.5897435897435898
place:$400-500,Free street parking,0.15384615384615385
place:$400-500,Bathtub,0.20512820512820512
place:$400-500,Private entrance,0.5128205128205128
place:$400-500,Free parking on premises,0.9358974358974359
place:$400-500,Wifi,0.9230769230769231
place:$400-500,Dedicated workspace,0.6153846153846154
place:$400-500,Patio or balcony,0.4230769230769231
place:$400-500,Cooking basics,0.44871794871794873
place:$400-500,Microwave,0.3076923076923077
place:$400-500,Dishes and silverware,0.46153846153846156
place:$400-500,First aid kit,0.32051282051282054
place:$400-500,Shampoo,0.41025641025641024
place:$400-500,Garden or backyard,0.3076923076923077
place:$400-500,Smoke alarm,0.358974358974359
place:$400-500,Heating,0.9615384615384616
place:$400-500,TV,0.8717948717948718
Fire extinguisher,room:$0-100,0.30930427493713325
Free street parking,room:$0-100,0.2330259849119866
Private entrance,room:$0-100,0.14585079631181894
Free parking on premises,room:$0-100,0.4300083822296731
Wifi,room:$0-100,0.9253981559094719
