source,target,value
place:$0-100,Fire extinguisher,0.18681318681318682
place:$0-100,Private entrance,0.31868131868131866
place:$0-100,Shower gel,0.13406593406593406
place:$0-100,Wifi,0.9186813186813186
place:$0-100,Dedicated workspace,0.7296703296703296
place:$0-100,Patio or balcony,0.3142857142857143
place:$0-100,Cooking basics,0.5758241758241758
place:$0-100,Microwave,0.2703296703296703
place:$0-100,Dishes and silverware,0.6153846153846154
place:$0-100,First aid kit,0.16703296703296702
place:$0-100,Shampoo,0.5912087912087912
place:$0-100,Smoke alarm,0.2549450549450549
place:$0-100,Heating,0.9582417582417583
place:$0-100,TV,0.6593406593406593
place:$100-200,Fire extinguisher,0.2532467532467532
place:$100-200,Free street parking,0.10822510822510822
place:$100-200,Private entrance,0.30735930735930733
place:$100-200,Shower gel,0.1406926406926407
place:$100-200,Free parking on premises,0.10173160173160173
place:$100-200,Wifi,0.9567099567099567
place:$100-200,Dedicated workspace,0.8095238095238095
place:$100-200,Patio or balcony,0.3528138528138528
place:$100-200,Cooking basics,0.6017316017316018
place:$100-200,Microwave,0.3484848484848485
place:$100-200,Dishes and silverware,0.6406926406926406
place:$100-200,First aid kit,0.20346320346320346
place:$100-200,Shampoo,0.6861471861471862
place:$100-200,Smoke alarm,0.3658008658008658
place:$100-200,Heating,0.9826839826839827
place:$100-200,TV,0.7705627705627706
place:$200-300,Fire extinguisher,0.42857142857142855
place:$200-300,Free street parking,0.10476190476190476
place:$200-300,Bathtub,0.14285714285714285
place:$200-300,Private entrance,0.26666666666666666
place:$200-300,Shower gel,0.1523809523809524
place:$200-300,Free parking on premises,0.19047619047619047
place:$200-300,Wifi,0.9904761904761905
place:$200-300,Dedicated workspace,0.9428571428571428
place:$200-300,Patio or balcony,0.29523809523809524
place:$200-300,Cooking basics,0.5904761904761905
place:$200-300,Microwave,0.47619047619047616
place:$200-300,Dishes and silverware,0.638095238095238
place:$200-300,First aid kit,0.29523809523809524
place:$200-300,Shampoo,0.819047619047619
place:$200-300,Smoke alarm,0.5428571428571428
place:$200-300,Heating,1.0
place:$200-300,TV,0.8952380952380953
place:$300-400,Fire extinguisher,0.3142857142857143
place:$300-400,Bathtub,0.2
place:$300-400,Private entrance,0.2571428571428571
place:$300-400,Shower gel,0.2
place:$300-400,Free parking on premises,0.22857142857142856
place:$300-400,Wifi,0.9714285714285714
place:$300-400,Dedicated workspace,0.8
place:$300-400,Patio or balcony,0.34285714285714286
place:$300-400,Cooking basics,0.6571428571428571
place:$300-400,Microwave,0.5142857142857142
place:$300-400,Dishes and silverware,0.6571428571428571
place:$300-400,First aid kit,0.2857142857142857
place:$300-400,Shampoo,0.8
place:$300-400,Garden or backyard,0.11428571428571428
place:$300-400,Smoke alarm,0.42857142857142855
place:$300-400,Heating,0.9714285714285714
place:$300-400,TV,0.8
place:$400-500,Free parking on premises,0.11538461538461539
place:$400-500,Wifi,1.0
place:$400-500,Dedicated workspace,0.9615384615384616
place:$400-500,Cooking basics,0.8461538461538461
place:$400-500,Dishes and silverware,0.11538461538461539
place:$400-500,Shampoo,0.28846153846153844
place:$400-500,Smoke alarm,0.1346153846153846
place:$400-500,Heating,1.0
place:$400-500,TV,0.9423076923076923
Fire extinguisher,room:$0-100,0.21413721413721415
Free street parking,room:$0-100,0.10810810810810811
Shower gel,room:$0-100,0.1101871101871102
Free parking on premises,room:$0-100,0.1392931392931393
Wifi,room:$0-100,0.9147609147609148
Dedicated workspace,room:$0-100,0.6881496881496881
Patio or balcony,room:$0-100,0.28274428274428276
Cooking basics,room:$0-100,0.40332640332640335
Microwave,room:$0-100,0.24116424116424118
Dishes and silverware,room:$0-100,0.49272349272349275
First aid kit,room:$0-100,0.2785862785862786
Shampoo,room:$0-100,0.5758835758835759
Garden or backyard,room:$0-100,0.14553014553014554
Smoke alarm,room:$0-100,0.29313929313929316
Heating,room:$0-100,0.9625779625779626
TV,room:$0-100,0.3866943866943867
Fire extinguisher,room:$100-200,0.4519230769230769
Shower gel,room:$100-200,0.16346153846153846
Wifi,room:$100-200,0.9326923076923077
Dedicated workspace,room:$100-200,0.7211538461538461
Patio or balcony,room:$100-200,0.21153846153846154
Cooking basics,room:$100-200,0.17307692307692307
Microwave,room:$100-200,0.1346153846153846
Dishes and silverware,room:$100-200,0.2692307692307692
First aid kit,room:$100-200,0.34615384615384615
Shampoo,room:$100-200,0.7211538461538461
Smoke alarm,room:$100-200,0.46153846153846156
Heating,room:$100-200,0.8942307692307693
TV,room:$100-200,0.6153846153846154
Fire extinguisher,room:$200-300,0.55
Bathtub,room:$200-300,0.15
Private entrance,room:$200-300,0.2
Wifi,room:$200-300,0.9
Dedicated workspace,room:$200-300,0.4
First aid kit,room:$200-300,0.5
Shampoo,room:$200-300,0.65
Smoke alarm,room:$200-300,0.7
Heating,room:$200-300,0.9
TV,room:$200-300,0.85
Fire extinguisher,room:$300-400,0.6666666666666666
Wifi,room:$300-400,1.0
Dedicated workspace,room:$300-400,1.0
First aid kit,room:$300-400,1.0
Shampoo,room:$300-400,1.0
Smoke alarm,room:$300-400,0.6666666666666666
Heating,room:$300-400,1.0
TV,room:$300-400,1.0
Wifi,room:$400-500,1.0
Dedicated workspace,room:$400-500,0.5
