neighbourhood,price,minimum_nights,number_of_reviews
Affoltern,99.5,7.0,13.0
Albisrieden,208.05,4.0,26.0
Alt-Wiedikon,109.5,4.0,41.0
Altstetten,231.77,11.0,14.0
City,312.0,3.0,16.0
Enge,260.75,6.0,17.0
Escher Wyss,159.59,3.0,14.0
Fluntern,153.75,9.0,15.0
Friesenberg,344.33,7.0,17.0
Gewerbeschule,96.39,5.0,32.0
Hard,278.16,8.0,30.0
Hirslanden,121.27,12.0,18.0
Hirzenbach,82.14,3.0,17.0
Hochschulen,296.0,4.0,23.0
Hottingen,120.74,4.0,26.0
Höngg,123.0,8.0,23.0
Langstrasse,156.54,10.0,20.0
Leimbach,57.5,2.0,6.0
Lindenhof,339.02,6.0,26.0
Mühlebach,127.34,7.0,46.0
Oberstrass,115.85,18.0,31.0
Oerlikon,159.6,9.0,16.0
Rathaus,187.52,5.0,66.0
Saatlen,107.8,77.0,6.0
Schwamendingen-Mitte,70.77,5.0,6.0
Seebach,112.04,4.0,13.0
Seefeld,175.89,4.0,21.0
Sihlfeld,123.34,8.0,20.0
Unterstrass,158.1,10.0,14.0
Weinegg,143.83,3.0,26.0
Werd,128.73,3.0,33.0
Wipkingen,97.82,8.0,33.0
Witikon,122.27,6.0,21.0
Wollishofen,152.03,5.0,22.0
